id,text,polarization,dialect_code,dialect_name,translated_text
eng_973938b90b0ff5d87d35a582f83f5c89, is defending imperialism in the dnd chat,0,arz,Egyptian Arabic,بيهجم للدفاع عن الإمبريالية في شات DnD
eng_07dfd4600426caca6e2c5883fcbea9ea,Still playing with this. I am now following Rachel Maddie from msnbc.,0,acw,Hejazi Arabic,لسا بلعب بهالشي. الحين أتابع راشيل مادي من MSNBC.
eng_f14519ff2302b6cd47712073f13bc461,".senate.gov Theres 3 groups out there Republicans, Democrats and the People. If the Democrats have little power, organize the People.",0,apc,North Levantine Arabic,.gov.senate في ثلاث مجموعات: الجمهوريين، والديمقراطيين، والشعب. إذا الديمقراطيين قوتهم قليلة، نظموا الشعب.
eng_e48b7e7542faafa544ac57b64bc80daf,"""ABC MD, David Anderson, said the additional funds would provide improved financial certainty stability. ""Continued investment in ABC is critical to support the democratic process, reflect our unique culture build our national identity thru Australian stories."" More ""Peter Dutton says""?",0,apc,North Levantine Arabic,"قال ديفيد أندرسون، المدير الطبي في ABC، إن الأموال الإضافية رح توفر يقين واستقرار مالي محسن. ""الاستثمار المستمر في ABC ضروري لدعم العملية الديمقراطية، عكس ثقافتنا الفريدة وبناء هويتنا الوطنية من خلال القصص الأسترالية."" كمان ""بيتر داتون بيقول؟"""
eng_7c581fb77bce8033aeba3d6dbd6273eb,"""bad people"" I have some conservative values so does that make me one of those Paul? Honest question.",0,ar,Standard Arabic,"""أناس سيئون"" لدي بعض القيم المحافظة فهل هذا يجعلني واحدًا من هؤلاء يا بول؟ سؤال صادق."
eng_bb7b41ffa6c56b52f8bbeb21a4c7aa77,"""Enemy of the people"" was a phrase coined and used during the Stalinist show trials in the Soviet Union. It has no place in a democratic society",0,ar,Standard Arabic,"""عدو الشعب"" كانت عبارة صيغت واستُخدمت خلال محاكمات الاستعراض الستالينية في الاتحاد السوفيتي. ليس لها مكان في مجتمع ديمقراطي."
eng_3a6672eb8e74090ad8884ee4f3343dc0,"""He also voiced support for Elon Musk, Tommy Robinson and Alternative for Germany, the farright antiimmigration party."" Yeah, complete mystery.",0,ar,Standard Arabic,كما أعرب أيضًا عن دعمه لإيلون ماسك وتوماي روبنسون وحزب البديل من أجل ألمانيا، الحزب اليميني المتطرف المعادي للهجرة.
eng_2c77bd1f661480f247fad599ac99bd17,"""If you disagree with imperialism, youre a supporter of imperialism""",0,afb,Gulf Arabic,إذا اختلفت مع الإمبريالية، فأنت مؤيد للإمبريالية
eng_3b91189f79ee9b5423000bb60460491b,"""italian"" as a national identity is totally oversold in meme culture. its a relaitvely new concept, they even speak different languagesdialects, the italian language is a modern made up construct. even pizza isnt the same in all of italy, we always think napoli style but thats only one",0,apc,North Levantine Arabic,"""الإيطالي"" كهوية وطنية مبالَغ فيها كتير بثقافة الميمات. هي فكرة جديدة نسبياً، وحتى بيناتهم بيحكوا لغات/لهجات مختلفة، واللغة الإيطالية هي بناء حديث ومصطنع. حتى البيتزا مو نفسها بكل إيطاليا، دايماً بنفكر بطعم نابولي بس هاد بس واحد من الأنواع."
eng_c39ae8ec15297d3528d8c2a5dd7e2753,"""No to ethnic cleansing"". QudsDay QudsMainIssue",0,apc,North Levantine Arabic,"لا للتطهير العرقي
يوم القدس القضية الرئيسية للقدس"
eng_b575d9f329e7218d383cbb5b57c86c8b,"""Remember that the frontier of the rebellion is EVERYWHERE and even the smallest act of insurrection pushes our lines forward."" Karis Nemik, Andor",0,ar,Standard Arabic,"""تذكّر أن جبهة التمرد في كل مكان، وحتى أصغر فعل من أعمال العصيان يدفع خطوطنا قُدماً."" كاريس نيميك، أندور"
eng_e635bb7c1cfdf866cd928cf2e2a896fe,"""Saved Ukraine FOR NATO expansion"" you mean. Right?",0,acw,Hejazi Arabic,"""انقذت أوكرانيا عشان توسيع الناتو"" قصدك كدا، صح؟"
eng_393b1271c37b5f68ce43a7a44de16800,"""Talks to reach a Gaza ceasefire and hostage release deal between Israel and Hamas are 90 complete, but key issues remain that need to be bridged, a senior Palestinian official involved in the talks told the BBC."" worldrss.bsky.social @URL",0,afb,Gulf Arabic,المحادثات للتوصل إلى وقف إطلاق نار في غزة واتفاق إطلاق سراح الرهائن بين إسرائيل وحماس مكتملة بنسبة 90%، لكن توجد قضايا رئيسية ما زال لازم تتجسر، قال مسؤول فلسطيني رفيع مشارك في المحادثات لهيئة الإذاعة البريطانية (BBC). worldrss.bsky.social @URL
