configuration,text,true_label,predicted_label,true_class,predicted_class,error_type,text_length,word_count
Config 1: Winner from R1 (Baseline),"ان بعض نصوص ومواد قانون حظر التطبيع قد شرعت لفتح باب التطبيع لا حظره 
#عدلوا_قانون_التجريم",1,0,Positive,Negative,False Negative,90,15
Config 1: Winner from R1 (Baseline),اي انتي لما تتكلمي كانك عم تخري اتعلمي الادب بالاول,0,1,Negative,Positive,False Positive,51,10
Config 1: Winner from R1 (Baseline),ان كان يغالط في احداث مصر حتي يلوم الاخوان عمال علي بطال، فما بالك بما يحدث باليمن.,0,1,Negative,Positive,False Positive,83,17
Config 1: Winner from R1 (Baseline),"اخوان شنو لاعب محلي شنو مغترب غير همه كلهم عراقيين لو حته بهاي طاءفيه عمي اذا الاعب المنتخب المغترب اصوله مو عراقيه ميشرفنه يلعبنه لان كره قدم العراق ولادة بل المواهب ومدام المغترب عراقي فهوه والمحلي واحد

",0,1,Negative,Positive,False Positive,206,37
Config 1: Winner from R1 (Baseline),"داتخيلهم ثلاثتهم سوا مهارة وتمرير وصناعة لعب صدك المهاجم الي حيلعب وياهم محضوضضضضض

",0,1,Negative,Positive,False Positive,84,13
Config 1: Winner from R1 (Baseline), خسءت ايها المرتد  الوقح  السيد حسن في وضعية. ( قدم سلاحك). للوطن الحبيب  وليس سلم سلاحك،,0,1,Negative,Positive,False Positive,89,16
Config 1: Winner from R1 (Baseline),هي دوابة  جاية عابشر بالغلط يولي روحي ارعي واكلي جت احسن لج يامطمطمة ياطنفسة موزين مكبرين راسج ويحكون معاك,0,1,Negative,Positive,False Positive,106,19
Config 1: Winner from R1 (Baseline),"هو كل المزعييين اللي عايزين يشتهرو يستضيفو الناس اللي شكل دي
كلهم كلاب وهيخربو البلد",0,1,Negative,Positive,False Positive,84,15
Config 1: Winner from R1 (Baseline),بعيدا عن السياسه يعتبر انجاز راءع وكل الليبين فرحانين بيه وبالنسبه للسرقه اكيد فيه لانها ثقافه في كل من يمسك منصب في ليبيا ..,0,1,Negative,Positive,False Positive,125,24
Config 1: Winner from R1 (Baseline), والله نتمني  يكونوا كما  حسن  ظنك عزيزي لكن  تاريخهم  في  خلايا  التجسس  يجعلنا نشك  بهم  دوما,1,0,Positive,Negative,False Negative,95,16
Config 1: Winner from R1 (Baseline),"و الله تستهال وحده مش محترمه و شافت تربيه اصلا
نازله فوقت زي دا و لبس مش لبس اصلا تستحق كل اللي حصل لها و اللي عايز يعارضني يعارض بس ف الاول و الاخر هي مش محترمه",0,1,Negative,Positive,False Positive,161,37
Config 1: Winner from R1 (Baseline),"لم تتطرق الجزيرة الي موسكو ولا الي تل ابيب ولكنها لم تنس القاهرة""وان تصبكم سيءة يفرحوا بها""",0,1,Negative,Positive,False Positive,91,17
Config 1: Winner from R1 (Baseline),كاضم تاريخه وصوته وفنه يشهد اله مو جورج ولا هذولي الحته ما معروف اسمهم,1,0,Positive,Negative,False Negative,70,14
Config 1: Winner from R1 (Baseline),بما ان السعوديه دفعت جبال فلوس عشان تعمل كوره عندها وتبقا نمره واحد في الكوره العربيه وجه الاهلي سيد القاره وزعيم افريقيا هدم كل ده واخد كبيرين السعوديه ورا مصنع الكراسي فطبيعي جعر مصر يبقا هو البطل الحقيقي والاهلي وحش وكخه 👌😃,0,1,Negative,Positive,False Positive,226,42
Config 1: Winner from R1 (Baseline),حتي اما تقدم علي انك تلبس شماس في الكنيسة يوم العيد محدش بيرد مش عايز اشتم,0,1,Negative,Positive,False Positive,74,16
