id,text,polarization
arb_a2a60c8b4af3389e842d8ec31afb0eea,أحلام أنتي و+ نعالي ومنو أنتي حتى تقيمين الفنانين الملكة أحلام هههههههه البقرة أحلام ب+ أبا عوفي الفن لااهل الفن,1
arb_6723e56a672674a6c1d9b28b213c4a05,وره الكواليس تنيجج من وره بعير صطناعي على ف+ كرة احﻻم رجل مو مرة لهن تخيل على البنات الحلويات هههههههه,1
arb_b0365d606edeee38ae6c025b1ca33e96,.خخخخ الملكة أحلام فيها شذوذ شنو هل بوس و+ الدلع مع شذا و+ الله عيب أطلعت بوية أحلام بس ب+ شعر خخخخخخخ,1
arb_858c0ee684049ba6f416a6cecb0b0761,الله يخزى أحلام هي و+ البرنامج الخايس إلى كله مصخره,1
arb_bdafc73afd0bc2cd2badae2a089446b9,كس أم أحلام إلى ماربتها وش ملكه هههه متستاهل ملكه حرام مفسخه جواده بنت كلب الله يدخله نار جهنم و+ ال عياذ بالله,1
arb_fe562dd678c078a61c11c372c8837ac4,أول شي أنتي تشبهين شغالتنا في البيت ثاني شي أنتي ملكه جمال الازباله 3 جميع الاسعودين أحلى منك أنتي,1
arb_4aea16b5fdc2a8918b11a8989fedab88,أحلام أنا أجر على أهلك يبنت الزنا اللعن ابووكي,1
arb_d34c223137fabce924f8c49528cee68e,و الله كلهم عالم زباله و أحنا ل+ لأسف بنشجعهم عالم وسخه,1
arb_fba612f3054c4e23ea1aac1436c74918,خيرالكلام ما قل و دل % جيب ( طز ) و شويه ( مرحبا ) أخلطهم في المولينكس تطلع ( أحلام ),1
arb_e9ae0d72cfacd92bbcac687513c03329,أحلام .. شخصيه منحطه منحطه منحطه ل+ أبعد الحدود .. و كلمة شرموطه قليله عليكي,1
arb_141d0c82c15f5dc8c5ee8ee7cf62b841,و+ الله أن شمس أحلى منك ي اطقاقه ع أقل شمس إحساس و+ جمال أنتي لا إحساس و+ لا جمال هيأ اخررجي ي طقاقه 😂😂,1
arb_7d8b38472c2af4613006837087cee6dc,الوسط الفني وسط حثالة ألا من تأب و+ تأب الله عليه نسأل الله لنا و+ لهم الهداية,1
arb_827b549a851173553d012550e1b74a66,و+ الله يا أحلام تبقين ب+ عيني زباله مشتمع يا فاشله,1
arb_5f10139fcb415f6609d98292b34282d9,بالله هاي فنانه مكانها ب+ الزبل أصلا كل ثقافة فنيه ما عندها لا وفوكاه تقول أني ملكه أنتي ملكه على الزبل يا زباله,1
arb_062ab901f3207286049921c2ff42443e,أبي أعرف من يضاجع الثاني أحلام و+ لا مبارك جد أسأل,1
arb_beaf87ba9c49db15aa4e6f5fbece9cbf,و+ لك أنت ساقط و+ حجيك تمظرط طط طط ط ألك قد رك,1
arb_fd55299e1648521f224387338b5e768b,أحلام أكلي عير ياوصخه ختفءءءءءءءءءءءءءءءءءءءءء عيربيج و+ بل إسلام ال أنتي بي دكومي عريضه حافضه القرآن و+ تقره القرآن و+ تغنى العريضة بلعت العير صخله,1
arb_4f813c25c976a6646c029c46f7dc8c32,أحلام الكرة العاهرة المطار دارسه شريعة طاح حظك يا احيلام,1
arb_558e912c8c03a59360c098a36b077f9c,مريضه نفسيه مفتكرة حالها بشريه و شكلها غربي😂😂😂😂و تلبس تياب قد بنت بنتها 😂😂😂😂,1
arb_b90e6a706d9d3cbfd7d05e2864fdecf9,شمس أحسن منج يزربه مو متربيه أنتي أعتقد ماتعرفين شنو التربية,1
arb_1f4dfc221c8b5f96f34b74177891fefc,كس أم أحلام على أم السوري ل+ معفن إلى بتفلسف,1
arb_70ddbe2b8a60b1c323e8ff5e7d182f1d,شواز يعني حذاء ف+ الحذاء على راسج و+ رأس زوجك الخنيث,1
arb_ed565d264c73d9ffbe5d8d9d56d1017e,امداج و+ مدة زوجاك الخنيذ الكواد الساقط ياخيسة أم العيوارة أم كس الخيس,1
arb_d295b7957ef42baadec1fe10bdbf97ad,هوانتي مطية و+ بهيمه وكالبة و+ نأنيه و+ تحب بس نفسه تحب القرآن هوانتي ك+ أوليه و+ غجريه امداج و+ مدة اهلج السقطين ياحيوانة ابن العراق و+ بس,1
arb_49c1a6427b11b835fc9a75c662b31c54,كيف متخرجه من علوم شرعية و+ تقول رقاصه و+ تسب لعن الله أبو من شهرها هاذي عار على الخليج بنت الكلب,1
arb_d78eeb68c5a221588dacf41ec455f93f,هذه أحلام مثل البقرة أصلا هاذه تغتصب النساء ب+ إصبعها,1
arb_16ed6044dda16366832c9321278fb80f,مين عم يقول الdislikeاكتر؟؟؟ههههه ياحبيبي طلعت شاذه كمان هاد الناقص يلعن شكلك بومه مسخره بس يلعن أبو المصاري تضربي بس شوفك بستفرغ,1
arb_5d821e13075f9b1da3b64520cc9bfe62,شوف نانسي شلون ناسكه و+ ناشفه و+ شوف هاي الهايشة ماتعرف حته تحجي ياخي صدك قهر أنتي مراه وهاية مراه,1
arb_b7e6c5f7513c805e2f27cd9400a350fa,هو ل+ إزم هل زباله تنلم ل+ كن قاله كلمة صحيخة ليش ما ينقبض على هيفاء و+ هبي و+ غيرها ؟،؟؟؟؟؟؟ولا ل+ أنهم ماسونياات,1
arb_5d6e8b4f9712b2ef17b75c0a440a65aa,المرة عارفه أفلام الثقافة .احييييييي ...وجايه تعدل على برديس هههههههه,1
arb_d69d22d69078d7e2f6b1cb18d729a921,برديس عاهره و ربنا يخلصن من أمثلك و+ لو ابوكي رجل كان زمانو دفن العاهرة,1
arb_0856a9100f8f6c99d6a18467c4baafa7,يعني ع أساس سعاد حسني الشرموطة و+ الشراميط إلى معاها كانو يبيعون مسابح ب+ الحرم يعمى على زق وبرديس تاج رأسكم,1
arb_8cbf493d0bd8925aeb53e48f093ae3c8,و+ الله أنا مش شايف غير أن برديس ده شرموطه و+ مبسوطه ب+ قلة أدبها و+ مبسوطه بالنيك ده ك+ نوع من الشهرة و+ عايزه تزيط,1
arb_d000ff8140a97c71c263aeb88399b815,أحه ك+ سمك يعني سعاد حسني كانت شيخه سعاد أعملت أوسخ من برديس مليون مرة ....الفنانات كلهم عهر,1
arb_72f53c56af8a8b4c230d00ed886ff636,آية الاجالك من كول واحد يهزقك يابنت ستين كلب ملقتيش راجل يلمك,1
arb_88ad0a1315f9e5ce3f03ed40a57656bb,يللا ياملفاية يابنت المتناكة يا لبوه أنتي تستأهلي أكتر من كده بكتير,1
arb_d1bc942838434f50b7b7a020b4ac44a9,الكلب طوني خليفة علق عليها و+ ناسي يعلق على ميريام وفيفي عبده,1
arb_0e8bdf2b83e05ac68c282e12b11146d4,أي و+ حده ب+ تطلع تتعرى و+ ترقص و+ تعمل كليبات إباحيه اسجنوها و+ خلصونا منها.....بس ل+ لأسف الناس بتحب الأشكال الوسخة زي دي,1
arb_1545dde491b1c88b370748384ffc9c47,مش عارف بتهاجمو برديس ليه ما البلد مليانه اوسسسخ منها سعاد حسني نفسها أفلامها كلها بوس و+ خلع و+ عري,1
arb_f350401c6c8c5d0da35d3f1a72a59fd5,على أساس سعاد حسني كانت تدرس قرأن كل أفلامها وسخه,1
arb_f088dd74981906ca096f14fd138c1467,الخضردولار ي هو الذي جعل من كبوس أحلام و+ من النهيق الحمير نتاع هذ الحمارة إلى فن,1
arb_178901219a976585e40e44e8716a0089,الله يلعنك يا وسخه . أنتي ملكه جمال الأبقار,1
arb_dbe36b5a1a58bbce71a563581d2ecb6a,بدك تأكلي خنزير موش كنطاكي يا أفعى ياحلوف وجه القرد,1
arb_eb90a7c57f43dedbc702253c57809224,وش ملكه سلامااات تروها طقاقه ملعونه أبو و+ لا الوجه عقدها مع شركة أنشأت علشان عملية التجميل ياطقااااااقه,1
arb_f007521f9949a427e2b2bffa42a9e3d3,أنتي أصلان شرموطه يا أحلام ومشان هيك ما تعرفين الشرفاء,1
arb_c4ff4d2f2327bf5e20a6c8324905fadc,الله يشفيها محدثه نعمه…وهذا سبب أنها متخبطه بكل شي أخلاقها صفر و+ متناقضه أقول الله يرحم أيام الطاره مع أمك و+ خالاتك تطلعوا العروس و+ تأكلوا فضله المعازيم,1
arb_2a61d7ae117442aaa726042e431bd2ff,"ليش ب+ صلتكم محرووقه؟؟!! KISS أخت الإعلام , و كس أخت أحلام معها مصاري وبتذل الاعلام..",1
arb_78e1ec998d32c33ebf3dc8d5b098d467,رجال الخليج يحبون اللواط و+ الآن نساء الخليج أحلام she lesbian عالم عالم العاهرين و+ العاهرات,1
arb_721a7a1533c60c234314015a914efbbf,يلعن ابوكي المفروض محدش يديها أي انتباه ل+ أن كده بتحسسوها أن هي بنى أدمة,1
arb_800ea76c8416441d67f273971e7343cf,أستغفر الله أعتقد أن أحلام صناعة صينيه و+ ليست مخلوق ل+ أن الله عز و+ جل لم يخلق هذه الكاءن الذي اسمه أحلام,1
arb_30c21d1211ccb4b57f737f2a094cf026,أنا ب+ رشح لهم الفنان عبدالله رويشد بدل هاي البقرة,1
arb_21077e85444f33ef3de08ac9e70db4e7,أحلام خرا لعنة الله على وجهها اللي مثل وجه القرد,1
arb_8565001f884dfa1d9c8339a72dccf9cc,الله يلعنك يا أحلام الطكاكه .. و+ لك تتكلمين على صوت ذكرى ؟؟؟ و+ الله الحمار و+ الخنزير أحسن منك يا أحلام الخايسه,1
arb_4d4160dc5ba9313d7d5d6e931e3907b4,أول شغل عالم الفن بكل أنواعه وسخ و+ منحط و+ قذر و+ تأني شي الإعلام أوسخ من عالم الفن و+ أحقر منه و+ ل+ ذلك الٱثنان يساندون بعضهم,1
arb_8443a36731c8fea1bda7910eab5d3d22,القافلة تسير و+ الكلاب تنبح س+ ير و+ الله معاك يا أحلام تحيه لكم من اليمن فنانه و+ غصبن عنكم,1
arb_6e77cabef080014acb3ba495e27bbd9d,أستغر الله لو تشوف وجهها و+ هي تدلع كذا مارح تسوى الحركات هذي الله يلعن هذي العجوز تدلع على كبر أرجوكم كفاية ياقنواتنا,1
arb_f68fbce888b8acad862c957e82329682,اللبنانيين شراميط الفن العريق قبل ماتقول شي ياخنزير يالمستعمر من فرنسا شوف نفسك ب+ الأول الخليجيين ديسلايك ل+ لفيديو,1
arb_1b12fbf4d67196b5f0d10aedae91af43,لك كس أخت يلي قال عنك مطربة.....تفووو عليك وسخة...,1
arb_8af3821eb3d930a2aa396a76166c87e3,فنانه العرب هههههههههههه و+ الله ضحكتيني هاد غبيه و+ وقحه أنا مابحبها أعود بالله هاد شيطانه,1
arb_8b0842ab115fa20b747ccf5a8bbdde5d,طكاكه مجرده من الأخلاق سوقيه في كلامها و+ تربية سزز و+ هي ليست سوى غجريه,1
arb_cf0fb486abe5894210703f5e1042287b,أنت يلي رافع هذا المقطع خراي عليك و+ على الملكة أحلام ههههه,1
arb_5060b91a0ee626c6e77b0c83e16ce0ec,وصل بها أنها أصيبت ب+ جنون البقر عفوا العظمة ل+ لكلب العظمة يخرب بيتج ضل حد ما تخانقتي معاه غبيييييييييييييييه,1
arb_3ede0b089e2cc61e8ddb45b8279d17fd,يخرب بيتك مزنخك ب+ غلة لو ضليتي بس تسمعينا الأغاني ب+ صوتك كان اشرفلك بس و+ قد يلي بينتي ع حقيقتك بتقرررفي مريضه نفسيه أخ تفو,1
arb_627d38a123174a7cfdad7fbb03b7c7fd,هاذيلا معزله وخربو الفن بسلوبهم و+ شكالهم و+ لبسهم راح الفن وماعترف فيهم فنانين من راغب ل+ ين مقدمه البرنامج كلهم حثالة.,1
arb_4d02aad272a85e5197024ab98490351e,ل+ ما تذكروني ب+ هذه الجرثومة اللي مرضت الفن و+ وسخت الفنانين. آه و+ رده الجزاءرية و+ ماجدة الرومي ووووواهاه,1
arb_3eb0f62b3b3d5ec6822a58c9289c825c,ايباخ أمسيه نفسج ملكه ونتي جكمة أو جنج قرد,1
arb_acd73cb8da3262ac82edb5351530d831,كس أمك يا أحلام وكس أم الفن إلى أعترف فيك,1
arb_b8577a354eb2cff0fe01a7672885ca0c,هي ملكه بس على عرش قمة الحمير اللي يسمعوها و+ يكرم السامعين و+ المتابعين هنا ب+ الردود,1
arb_72d0c1794c72be31db903ef1d0dcac92,وهية أحلام منيلهة صوت بس جوعر مثل الجاموسة ههههههههههههههههههههههههههه,1
arb_1dbfb278ce2003e5c7a26a8b9b59cfe3,أحلام بقره و+ الله هبلا و+ الناس يضحكون عليها وماتحس وماتفهم,1
arb_8399ad58c0eb8b448609f99ffd278897,حبيبتي أحلام أنتي تاج على رأس كل نجس يمسك ب+ كلام مولءق ف+ يكي ماعليكي منهم تره كلهم بيغارومنك حبيبتي أحلام اني.من العراق و+ معجبه بيج,1
arb_455d4fa040cdb3dc09f7ba05fceab39c,عبده طقاقة الخرا كل ما حركته فاحت ريحته و+ أحلام خرا. .. يعني اعطيتوها أكبر من حجمها كويحه,1
arb_afd23d8dd8ca807adc455a5e86e14bec,كس أمك يا أحلام الطقاقة و+ لك أنتي و+ حده شرموطه تمص القضيب من كنتي صغيره و+ كل الخليج يعرف و+ لك خلي زوجك الخنزير يلحس ك+ سك الخايس,1
arb_0e42ef3307221775d0170110d2d88d05,هاي مراهقه و+ تحس روحها مثل نانسي و+ باقي الفنانات الصغار الله ياخذج و+ يأخذ امثالج يابكرة,1
arb_2f72266987f940647091a2b8e7ab53eb,بيف ب+ إف قاتل الحشرات و+ الصراصير و+ منهم أحلام جربو و+ لا أحلام بعد اليوم.,1
arb_a8eb865436fc86402812d5e2481d370b,سخيفه و+ معتوه و+ الشرهة على اللي خرجها من شرنقة الطقاقات,1
arb_2c29dd64ef8ea4260c4884dcc1a789ce,غبيييييي هو و+ إلى جنبه قال ب+ التركي نمسا يعني نامو يااتافه ب+ التركي مافي و+ لا كلمة نمسا طبيعي تكون غبي ل+ أنك قاعد جنب مصدر الغباء,1
arb_21b076c75094958a43dc57b1c55ac52c,يا ناس أنتو اللي عليكم الغلط. أنا أول مرة أعرف ناس آدميين يسمعو لبقرة. أو حماره مثل أحلام,1
arb_35237e6a8630e6a5ab167fefc7d78f47,من الزريبة إلى الشهرة و+ المال ف+ عمل تربنه ف+ المخ ف+ تغير الشكل الخارجي و+ بقيت الوساخة و+ الانحطاط,1
arb_ce7648cb8db7496b3801642eccd2d862,أحلام هي رجال أو امرءة خري عليكي و+ على يلي شافك و+ أنبسط ل+ أنك زباله و+ مجنونه تفوووو عليكي و+ على يلي نزلك في البرامج,1
arb_5de16590ce88229916550e1d0c3cdeac,متخلفه و+ جاهله و+ تصلح أن تكون ملآكم و+ ليس ف+ ناه ذو إحساس مرهف و+ ليست سوى نكره فاشله مغروره,1
arb_a7613ff40cf8648cc572f729d2ba2333,أحلام غبيه و+ سلوكه سياسي غبي و+ تفكيرها غبي و+ تصرفتها غبيه و+ غناءها غبي ل+ ما راح راغب خلص برنامج أصلا أشكال وسخه,1
arb_6d036113ffffc31fb347f84c36597485,ما تشبعين من الكنتاكي يا بقره همداج أنتي وزوجج يا خنازبر,1
arb_830c748f8880fcabd1537d8bceec53fc,حماره و+ غبيه و+ اللي خلاها تشارك في عرب ايدل هو الحمار الأكبر مغروره و+ تافهه,1
arb_bdf761d014e62bfc27a59d884d487a33,فد و+ حده حثالة وحرامات و+ البرنامج ما أتابعه ل+ أن بي أحلام و+ حده قذره وحرامات تحكم على أصوات,1
arb_e98b9a543f221094c3c2374734d3da35,هسه أنتي شلونج يابقره إذا راغب هيج أنتي شنو,1
arb_876ead2c8d37d607870dd2fead2594f8,نام سه أجل 😝 سبحان من جمعكم بقره و+ ثور,1
arb_d096a32ac875662d5610dfad2f8c0ad6,اخلام لاتستطيع المشاركة ل+ أنهم كتبو لافته على الباب ممنوع دخول القرود,1
arb_15b79497a7ab9f316b84809d687369e7,تفووو عليك ياللي مسوي الفديو مووت قهر ماتوصولون ربع احﻻم,1
arb_43118ae4368ecaa014464a965e17f372,العما و+ لا ما بتفرقوا عن البقرة ب+ تعد عن الأنوثة ملايين ما ب+ عرف كيف عاملين مطربه,1
arb_ae4a0d3596b83cc1b7744bd7f4ce43bc,أحلام انقلعي عنا يا بدك كنتاكي أنا برءيي نتاكي أحلا,1
arb_dda8caaad92de2d4484f3b6344823a7d,هادي ماتشرفنا نحن الخليجيين 😠 ل+ أنها دقاقه ( طقاقه ) أصلا ف+ تفكيرها و+ تصرفاتها على هالاساس,1
arb_9b90fff89cf145821c7d44cca8fec435,ياسبحان الله شو مكروها هالفنانه عليها صفات الخنازير و+ شكلها أشكال بقر الفريزن أنتي مش أحلام أنتي خرابيط لو أنا زوجك انتحرت من زمان,1
arb_407f875f1ab7ba755d4754ff2affb46a,mbc أنتو قناة معروفه و+ محترمه شنو هاي الخايسة أحلام مخلينهة ب+ القناة و+ الله خربت قناتكم,1
arb_b1abbf543bd1ed3b6dcd33c25ea23822,هذ الفنان أحلام مو فنانه س+ أمجه و+ تافهه و+ الأهبل إلى يسمع أغانيها و+ الواضح أن البرنامج جايبها يضحك عليها ويالجمهور,1
arb_75f48f73fe7c21a4e7567dd064b53a04,أفادنا مراسلنا من مكان أراب ايدول هناك أنباء عن جريمة وقعت في أراب ايدول وهيه اغتصاب المذيعة ... و+ المشتبه به أحلام,1
arb_299f28b39ac32ba1d4c676b40c8ac645,هههههههه أحسن ماشاركت ل+ أن هي بقره من صدك من طلبت الكنتاكي في البرنامج و+ بعد كل هذا. خريجه شريعة إسلاميه,1
arb_473177da28fde1280e3759c3f8fddeaf,أحقر إنسانه شفتها في حياتي ب+ صراحة لا دين و+ لا أدب و+ لا أخلاق و+ لا شكل أستغفر الله العظيم بس,1
arb_784a2e798c74ebd31648b56f47cbe6d3,يقطعها بهزول تقول قدامى غودزيلا أو شمبانزي لسه هظول أحلى منها ب+ كثير,1
arb_3a1766594f90cb9fbf08aa51a104545c,شاذه جنسيا .. ربما تكون خنثيا ف+ ملامح وجهها و+ خشونة جسمها قبل التجميل توحى أنها ذكر و+ الله أعلم .,1
arb_d7455f5a31abb982cb2101cda0322b03,ذكر تحول إلى ذكرين و+ حده بشعه بكل شي شكل أخلاق كل شي صوتك زباله ملكه ع نفسك يامامي,1
arb_0ce658960dc8821890f908b374c5682f,كل المطربات يحجن بس الثورة أحلام تسكت ياحمار,1
