id,text,polarization
arb_a2a60c8b4af3389e842d8ec31afb0eea,احلام انتي ونعالي ومنو انتي حتى تقيمين الفنانين الملكه احلام هههههههه البقره احلام بابا عوفي الفن لااهل الفن,1
arb_6723e56a672674a6c1d9b28b213c4a05,وره الكواليس تنيجج من وره بعير صطناعي على فكرة احﻻم رجل مو مره لهن تخيل على البنات الحلويات هههههههه,1
arb_b0365d606edeee38ae6c025b1ca33e96,.خخخخ الملكه احلام فيها شذوذ شنو هل بوس والدلع مع شذا والله عيب اطلعت بويه احلام بس بشعر خخخخخخخ,1
arb_858c0ee684049ba6f416a6cecb0b0761,الله يخزي احلام هي والبرنامج الخايس الي كله مصخره,1
arb_bdafc73afd0bc2cd2badae2a089446b9,كس ام احلام الي ماربتها وش ملكه هههه متستاهل ملكه حرام مفسخه جواده بنت كلب الله يدخله نار جهنم وال عياذ بالله,1
arb_fe562dd678c078a61c11c372c8837ac4,"أول شي انتي تشبهين شغالتنا في البيت

ثاني شي انتي ملكة جمال الإزباله

3 جميع الاسعودين أحلى منك انتي",1
arb_4aea16b5fdc2a8918b11a8989fedab88,احلام انا اجر على اهلك يبنت الزنا اللعن ابووكي,1
arb_d34c223137fabce924f8c49528cee68e,و الله كلهم عالم زبالة و احنا للاسف بنشجعهم عالم وسخة,1
arb_fba612f3054c4e23ea1aac1436c74918,خيرالكلام ما قل و دل %  جيب ( طز )   و شوية ( مرحبا )   اخلطهم في المولينكس تطلع ( احلام ),1
arb_e9ae0d72cfacd92bbcac687513c03329,احلام .. شخصيه منحطه منحطه منحطه لأبعد الحدود .. و كلمة شرموطه قليله عليكي,1
arb_141d0c82c15f5dc8c5ee8ee7cf62b841,والله ان شمس احلى منك ي اطقاقه ع اقل شمس احساس وجمال انتي لا احساس ولا جمال هيا اخررجي ي طقاقه 😂😂,1
arb_7d8b38472c2af4613006837087cee6dc,الوسط الفني وسط حثالة الا من تاب وتاب الله عليه نسأل الله لنا ولهم الهداية,1
arb_827b549a851173553d012550e1b74a66,والله يا احلام تبقين بعيني زباله مشتمع يا فاشله,1
arb_5f10139fcb415f6609d98292b34282d9,بالله هاي فنانة مكانها بالزبل أصلا كل ثقافة فنية ما عندها لأ وفوكاه تقول اني ملكة انتي ملكة على الزبل يا زبالة,1
arb_062ab901f3207286049921c2ff42443e,ابي اعرف من يضاجع الثاني احلام ولا مبارك جد اسال,1
arb_beaf87ba9c49db15aa4e6f5fbece9cbf,ولك انت ساقط وحجيك تمظرط طط طط ط الك قد رك,1
arb_fd55299e1648521f224387338b5e768b,أحلام أكلي عير ياوصخه ختفؤؤؤؤؤؤؤؤؤؤؤؤؤؤؤؤؤؤؤؤؤ عيربيج وبل أسلام أل أنتي بي دكومي عريضه حافضه ألقرأن وتقره ألقرأن وتغني ألعريضه بلعت ألعير صخله,1
arb_4f813c25c976a6646c029c46f7dc8c32,احلام الكره العاهرة المطار دارسة شريعة  طاح حظك يا احىلام,1
arb_558e912c8c03a59360c098a36b077f9c,مريضة نفسية مفتكرة حالها بشرية و شكلها غربي😂😂😂😂و تلبس تياب قد بنت بنتها 😂😂😂😂,1
arb_b90e6a706d9d3cbfd7d05e2864fdecf9,شمس احسن منج يزربه مو متربيه انتي اعتقد ماتعرفين شنو التربيه,1
arb_1f4dfc221c8b5f96f34b74177891fefc,كس ام احلام على ام السوري لمعفن الي بتفلسف,1
arb_70ddbe2b8a60b1c323e8ff5e7d182f1d,شواز يعني حذاء فالحذاء على راسج وراس زوجك الخنيث,1
arb_ed565d264c73d9ffbe5d8d9d56d1017e,امداج ومدة زوجاك الخنيذ الكواد الساقط ياخيسة ام العيوارة  ام كس الخيس,1
arb_d295b7957ef42baadec1fe10bdbf97ad,هوانتي مطية وبهيمة وكالبة ونانية وتحب بس نفسة  تحب القران  هوانتي كاولية وغجرية امداج ومدة اهلج السقطين ياحيوانة ابن العراق وبس,1
arb_49c1a6427b11b835fc9a75c662b31c54,كيف متخرجه من علوم شرعيه وتقول رقاصه وتسب لعن الله ابو من شهرها هاذي عار على الخليج بنت الكلب,1
