configuration,dataset,text,true_label,predicted_label,true_class,predicted_class,error_type,text_length,word_count
Config 1: Baseline - Basic,Basic,"ان بعض نصوص ومواد قانون حظر التطبيع قد شرعت لفتح باب التطبيع لا حظره 
#عدلوا_قانون_التجريم",1,0,Positive,Negative,False Negative,90,15
Config 1: Baseline - Basic,Basic,ان كان يغالط في احداث مصر حتي يلوم الاخوان عمال علي بطال، فما بالك بما يحدث باليمن.,0,1,Negative,Positive,False Positive,83,17
Config 1: Baseline - Basic,Basic,وش قالت قالت رقاصه وانتي وش يا الطقاقه عاشو ترا كلكم  نفس بعض,0,1,Negative,Positive,False Positive,61,13
Config 1: Baseline - Basic,Basic, خسءت ايها المرتد  الوقح  السيد حسن في وضعية. ( قدم سلاحك). للوطن الحبيب  وليس سلم سلاحك،,0,1,Negative,Positive,False Positive,89,16
Config 1: Baseline - Basic,Basic,هي دوابة  جاية عابشر بالغلط يولي روحي ارعي واكلي جت احسن لج يامطمطمة ياطنفسة موزين مكبرين راسج ويحكون معاك,0,1,Negative,Positive,False Positive,106,19
Config 1: Baseline - Basic,Basic,"هو كل المزعييين اللي عايزين يشتهرو يستضيفو الناس اللي شكل دي
كلهم كلاب وهيخربو البلد",0,1,Negative,Positive,False Positive,84,15
Config 1: Baseline - Basic,Basic,بعيدا عن السياسه يعتبر انجاز راءع وكل الليبين فرحانين بيه وبالنسبه للسرقه اكيد فيه لانها ثقافه في كل من يمسك منصب في ليبيا ..,0,1,Negative,Positive,False Positive,125,24
Config 1: Baseline - Basic,Basic,انتي مغروره وصراحه كلامك خرا شبهه وشك ههههههههههههههههههههههههه ال ملكه ال تعالي اقعدي علي دا l,1,0,Positive,Negative,False Negative,95,16
Config 1: Baseline - Basic,Basic,"    حنبلي؟؟
مو علي كيفك حطيت فوق حق المذاهب بس واضح انك مع القطيع ماتفهم وتحرم علي كيفك",1,0,Positive,Negative,False Negative,87,17
Config 1: Baseline - Basic,Basic,"لم تتطرق الجزيرة الي موسكو ولا الي تل ابيب ولكنها لم تنس القاهرة""وان تصبكم سيءة يفرحوا بها""",0,1,Negative,Positive,False Positive,91,17
Config 1: Baseline - Basic,Basic,كاضم تاريخه وصوته وفنه يشهد اله مو جورج ولا هذولي الحته ما معروف اسمهم,1,0,Positive,Negative,False Negative,70,14
Config 1: Baseline - Basic,Basic,بما ان السعوديه دفعت جبال فلوس عشان تعمل كوره عندها وتبقا نمره واحد في الكوره العربيه وجه الاهلي سيد القاره وزعيم افريقيا هدم كل ده واخد كبيرين السعوديه ورا مصنع الكراسي فطبيعي جعر مصر يبقا هو البطل الحقيقي والاهلي وحش وكخه 👌😃,0,1,Negative,Positive,False Positive,226,42
Config 1: Baseline - Basic,Basic,"ههههههههههههههههههههههه تستااااااهل فقعوا راسها وضربوها خلوا عيونها تطير
ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه
الله يبيض وجيههم رجااااااااال ونعم الرجااااااال",1,0,Positive,Negative,False Negative,218,15
Config 1: Baseline - Basic,Basic,كل الصحف الزيكو اوالمنتخب يتكلمون علي المقابلة قبل ميلعبو اعرفهم فاشلين المغرب يريد ان يلعب الكرة مع اي فريق لايتكلم نحن نفوز لا يقول نحن نلعب الكرة,1,0,Positive,Negative,False Negative,148,27
Config 1: Baseline - Basic,Basic,مين شيرين مين حسام حبيبي عشان تعملي حلقات عليهم انتو معاكم ملاين مش حاسين بالشعب ناس فاضيه قوللنا كيلو اللحمه بكام والاسعار ايه انما انتو مش حسين بحاجه معاكم ملاين انما لو سالناكي فساتين بكام وهو معاه ايه وشيرين معاها كام مليون انتو ناس من كوكب تاني,1,0,Positive,Negative,False Negative,249,47
Config 1: Baseline - Basic,Basic,النتن ياهو سيوقع صاغرا علي الاتفاق للمرحلة الثانية.اما تصريحاته فهي تعبير عن خوفه علي مصيره بعد نهاية الحرب,0,1,Negative,Positive,False Positive,107,18
Config 1: Baseline - Basic,Basic, انا مستغربة انه بيتكلم عن الاغتصاب عادي فشخ فعلا 🙆🏻‍♀️ يعني كان المفروض الواحدة تغتصب و تروح تحضر الفطار عادي بعدها,1,0,Positive,Negative,False Negative,116,21
