id,text,polarization,dialect_code,dialect_name,translated_text
eng_973938b90b0ff5d87d35a582f83f5c89, is defending imperialism in the dnd chat,0,apc,North Levantine Arabic,عم يدافع عن الإمبريالية في شات دي إن دي
eng_07dfd4600426caca6e2c5883fcbea9ea,Still playing with this. I am now following Rachel Maddie from msnbc.,0,ary,Maghrebi Arabic,ما زال نلعب بهذا. دابا تابعا راشيل مادّي من msnbc.
eng_f14519ff2302b6cd47712073f13bc461,".senate.gov Theres 3 groups out there Republicans, Democrats and the People. If the Democrats have little power, organize the People.",0,acw,Hejazi Arabic,.gov.senate في بريطانيا؟ في ثلاث مجموعات: الجمهوريين والديمقراطيين والشعب. إذا كان لدى الديمقراطيين سلطة قليلة، نظّموا الشعب.
eng_e48b7e7542faafa544ac57b64bc80daf,"""ABC MD, David Anderson, said the additional funds would provide improved financial certainty stability. ""Continued investment in ABC is critical to support the democratic process, reflect our unique culture build our national identity thru Australian stories."" More ""Peter Dutton says""?",0,afb,Gulf Arabic,"قال ديفيد أندرسون، المدير الطبي في ABC، إن الأموال الإضافية ستوفر يقينًا واستقرارًا ماليين محسّنَين. ""الاستثمار المستمر في ABC أمر حاسم لدعم العملية الديمقراطية، وعكس ثقافتنا الفريدة، وبناء هويتنا الوطنية من خلال القصص الأسترالية."" المزيد ""بيتر داتون يقول؟"""
eng_7c581fb77bce8033aeba3d6dbd6273eb,"""bad people"" I have some conservative values so does that make me one of those Paul? Honest question.",0,arz,Egyptian Arabic,"""ناس وحشة"" عندي قيم محافظة فهل ده بيخليني واحد من دول يا بول؟ سؤال صريح."
eng_bb7b41ffa6c56b52f8bbeb21a4c7aa77,"""Enemy of the people"" was a phrase coined and used during the Stalinist show trials in the Soviet Union. It has no place in a democratic society",0,arz,Egyptian Arabic,"""عدو الشعب"" كانت عبارة اتصنعت واتستخدمت في محاكمات العرض الستالينية في الاتحاد السوفيتي. مافيش ليها مكان في مجتمع ديمقراطي."
eng_3a6672eb8e74090ad8884ee4f3343dc0,"""He also voiced support for Elon Musk, Tommy Robinson and Alternative for Germany, the farright antiimmigration party."" Yeah, complete mystery.",0,ar,Standard Arabic,كما أعرب أيضًا عن تأييده لإيلون ماسك وتومي روبنسون وحزب بديل من أجل ألمانيا، الحزب اليميني المتطرف المعادي للهجرة.
eng_2c77bd1f661480f247fad599ac99bd17,"""If you disagree with imperialism, youre a supporter of imperialism""",0,ayn,Yemeni Arabic,إذا كنت تعارض الإمبريالية فأنت مؤيد للإمبريالية
eng_3b91189f79ee9b5423000bb60460491b,"""italian"" as a national identity is totally oversold in meme culture. its a relaitvely new concept, they even speak different languagesdialects, the italian language is a modern made up construct. even pizza isnt the same in all of italy, we always think napoli style but thats only one",0,afb,Gulf Arabic,"""الإيطالي"" كهوية وطنية مُبالَغ فيها مرة في ثقافة الميمز. هالمفهوم جديد نسبياً، وحتى عندهم لغات ولهجات مختلفة، واللغة الإيطالية هي تركيب حديث مصنوع. حتى الـ بيتزا مو نفس الشي في كل إيطاليا، دايماً نفكر بطريقة نابولي بس هذي بس وحدة."
eng_c39ae8ec15297d3528d8c2a5dd7e2753,"""No to ethnic cleansing"". QudsDay QudsMainIssue",0,acm,Iraqi Arabic,"لا للتطهير العرقي
يوم القدس القضية_الرئيسية_للقُدس"
